Post Link,Type,Comment Author,Profile Image,Comment Text
https://www.youtube.com/post/UgkxAD16ntFxfGDb6MTWFA-0hpM2lhmuaKAK,일반댓글,@빙랑_요거트맛,https://yt3.ggpht.com/o391pQURrVGFpC60fl82wVRKcdmFBpkxnOeop8s0QiL6Ud7a_2icekn6b0HWQvZASdGZv_SG=s0,디스코드 팬서버 만들어도 되나요??
https://www.youtube.com/post/UgkxAD16ntFxfGDb6MTWFA-0hpM2lhmuaKAK,대댓글,@온리리온2호점,https://yt3.ggpht.com/jlIhMicbFwdmtEkjkNHgxHZUiEBDWpoSITR1McD7DLbviDYWMkJ2gxlwW634wrMOhFKxV7806U0=s0,디코는 안되요임 ㅈㅅ 대신 카페 만들수도
https://www.youtube.com/post/UgkxAD16ntFxfGDb6MTWFA-0hpM2lhmuaKAK,일반댓글,@루포_Lupo,https://yt3.ggpht.com/L-XO0jpjfoZyw0-33fBmLatRfca7etj9v7kcw-w4w5c4sIHWmlEbRnzSMLk04IHItbNDowTS=s0,선정성...?♡
https://www.youtube.com/post/UgkxAD16ntFxfGDb6MTWFA-0hpM2lhmuaKAK,대댓글,@온리리온2호점,https://yt3.ggpht.com/jlIhMicbFwdmtEkjkNHgxHZUiEBDWpoSITR1McD7DLbviDYWMkJ2gxlwW634wrMOhFKxV7806U0=s0,어어
https://www.youtube.com/post/UgkxAD16ntFxfGDb6MTWFA-0hpM2lhmuaKAK,대댓글,@lemonjwak5521,https://yt3.ggpht.com/IMTQD9ZbrrqrEH-Tqo9d072VnIhiTj_xCnDS41ovLnwSqKaMPK3fdy25MbusxXpNDEiA5rMNuA=s0,||EMOJI_START||😠||https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f620.png||EMOJI_END||
https://www.youtube.com/post/UgkxR-vQLaHaf5lZ_SW19cEY7-ZihZyv0SXy,일반댓글,@마리사랑단,https://yt3.ggpht.com/GllUzNYohgivBjdzxF3AHFjKYOKlDAxcPwzJGCHjDJKLm396fxWx2QDveqj_GVm0OX5UB2iArLA=s0,힘내용||EMOJI_START||❤||https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png||EMOJI_END||
https://www.youtube.com/post/UgkxR-vQLaHaf5lZ_SW19cEY7-ZihZyv0SXy,일반댓글,@온리리온2호점,https://yt3.ggpht.com/jlIhMicbFwdmtEkjkNHgxHZUiEBDWpoSITR1McD7DLbviDYWMkJ2gxlwW634wrMOhFKxV7806U0=s0,힘내용!
https://www.youtube.com/post/UgkxDRjBZgLQCn-k344r-X8yJ9TtYN2yY72w,일반댓글,@온리리온2호점,https://yt3.ggpht.com/jlIhMicbFwdmtEkjkNHgxHZUiEBDWpoSITR1McD7DLbviDYWMkJ2gxlwW634wrMOhFKxV7806U0=s0,이거 일단 깃허브 만들고 뮤트한테 물어봤는데 어케 인수인계받죠ㄷㄷ;;
https://www.youtube.com/post/UgkxDRjBZgLQCn-k344r-X8yJ9TtYN2yY72w,대댓글,@마리사랑단,https://yt3.ggpht.com/GllUzNYohgivBjdzxF3AHFjKYOKlDAxcPwzJGCHjDJKLm396fxWx2QDveqj_GVm0OX5UB2iArLA=s0,리포지토리 만드시고 제가 드리는 파일 그대로 넣으시면 됨
https://www.youtube.com/post/UgkxDRjBZgLQCn-k344r-X8yJ9TtYN2yY72w,대댓글,@마리사랑단,https://yt3.ggpht.com/GllUzNYohgivBjdzxF3AHFjKYOKlDAxcPwzJGCHjDJKLm396fxWx2QDveqj_GVm0OX5UB2iArLA=s0,깃허브 아이디랑 레포지토리가 주소가 되니까 이름 잘 정하세요 잘못하면 주소 소피됨
